Commentaire,Séance,Module,Aspect,Polarité,Sentiment,Attitude,Valeur,Attente
C'est très clair et bien expliqué et présenté,/,ORGA,Pr,P,J,NE,NE,NE
Le contenu de cours est très important ,/,ORGA,C,P,J,NE,A,NE
C'est bien structuré et logique,/,ORGA,S,P,J,NE,NE,NE
Le cours contient tout ce qu'il faut ni plus ni moins ,/,ORGA,D,P,J,NE,NE,NE
J'aime la méthode de dialogue entre enseignants et élèves pendant le cours ça rend la séance active,/,ORGA,CO,P,J,A,I,NE
C'est incroyable la quantité des connaissances que j'ai acquises à partir de ce cours,/,ORGA,G,P,J,NE,I,NE
j'aime bien la manière dont le profs explique et présente son cours ,/,BDD,Pr,P,J,A,I,NE
le contenu de ce cours est très important,/,BDD,C,P,J,NE,A,NE
Le cours est bien structuré avec un ordre chronologique très logique,/,BDD,S,P,J,NE,NE,NE
la présentation de cours ne possède que les idées essentiels j'aime ça,/,BDD,D,P,J,NE,I,NE
Très bonne communication entre le prof et les étudiants durant la présentation de cours et aussi vers la fin,/,BDD,CO,P,J,NE,NE,NE
"on se trouve perturbés et stressés même si on acquis des informations ,elle ne peut pas être sauvegardé pour une longue période.",/,BDD,G,N,A,NE,C,NE
Bien présenté j'aime cette méthode,/,TICO,Pr,P,J,NE,I,NE
Bon contenu rien à dire,/,TICO,C,P,J,NE,NE,NE
Très bien structuré,/,TICO,S,P,J,NE,NE,NE
Beaucoup de texte à mon avis,/,TICO,D,N,M,NE,NE,NE
Bonne communication entre le prof et les étudiants j'aime trop les séances de ce cours,/,TICO,CO,P,J,NE,I,NE
Je trouve qu'on s'attarde la ou il faut et on avance quand il faut j'aime la méthode de la profs,/,TICO,Pr,P,J,NE,I,NE
J'aimerai qu'on fasse plus d'exemples pratiques ,/,TICO,G,N,M,NE,NE,NE
Assez bien organisé,/,TICO,S,P,J,NE,NE,NE
Manque d'animation il faut l'améliorer à mon avis,/,TICO,D,N,M,NE,NE,NE
" J'adore le prof, Il enseigne avec des exemples réels",/,TICO,CO,P,J,A,I,NE
"Ca va généralement comme module, j'aime bien la méthode en ligne on passe un agréable temps quand même",/,TICO,G,P,J,NE,I,NE
"J'aime bien la présentation du cours , c'est des points bien précis et organisés",/,TICO,Pr,P,J,NE,I,NE
le contenu du cours est très important et on traite plein d'exemples sur les notions abordées,/,TICO,C,P,J,NE,A,NE
Le cours du TICO est très bien structuré ,/,TICO,S,P,J,NE,NE,NE
"Le contenu contient autant du texte que d'images nécessaires , selon chaque notion , si le point nécessite des schémas et des images pour permettre une meilleure compréhension donc les schémas sont la , et si ça nécessite du texte on trouve des paragraphes",/,TICO,D,P,J,NE,NE,NE
le cours du TICO assure une très bonne communication entre nous pendant toute la séance j'apprécie ce prof,/,TICO,CO,P,J,A,I,NE
C'est vrai qu'on reçoit trop de notions pendant le cours mais on essaye toujours de comprendre bien ces notions et les rendre plus facile à mémoriser ,/,TICO,G,P,J,NE,NE,P
La prof EST MAGNIFIQUE,/,SYC1,Pr,P,J,A,I,NE
Je trouve le contenu bien. ,/,SYC1,C,P,J,NE,NE,NE
"Cours bien structuré, ce qui nous permet de bien suivre. ",/,SYC1,S,P,J,NE,NE,NE
"Slides trop simples, pas très agréables à voir. ",/,SYC1,D,N,M,NE,C,NE
Prof très attentionnée <3 !!! j'aime bien la façon dont elle communique avec nous,/,SYC1,CO,P,J,A,I,NE
parmi les  cours en ligne que j'aime bien assister   ,/,SYC1,G,P,J,NE,I,NE
j'aime bien la présentation du profs   ,/,IPLS,Pr,P,J,NE,I,NE
contenu minimisé par rapport à ce qu'on fait en présentiel à cause de réduction la duré de la séance,/,IPLS,C,N,M,NE,NE,NE
"Oui bien organisé, y a le cours détaillé, des fois les slides et enfin des qcm de compréhension et des exercice ",/,IPLS,S,P,J,NE,NE,NE
Design simple j'aime pas vraiment  ,/,IPLS,D,N,M,NE,C,NE
Avec les problèmes de micro et de connexion on arrive pas à bien communiquer entre nous et c'est stressant  ,/,IPLS,CO,N,A,NE,C,NE
J'arrive à comprendre et apprécier ce qui est appris à nous mais si on avait plus de temps pour évoquer plus de notions et travailler ensemble et réfléchir ensemble ,/,IPLS,G,N,M,NE,I,P
L'enseignant maîtrise le sujet et présente son cours d'une manière adéquate.,/,IPLS,Pr,P,J,A,NE,NE
contenu important et utile,/,IPLS,C,P,J,NE,U,NE
L'enchaînement des notions est dans un ordre cohérent.,/,IPLS,S,P,J,NE,NE,NE
La présentation est visuellement légère et permettant d'assimiler les notions rapidement.,/,IPLS,D,P,J,NE,NE,NE
"L'enseignant répond aux questions à tout moment, qu'elles soient posées par oral ou par écrit j'aime bien",/,IPLS,CO,P,J,A,I,NE
Les cours de ce module sont très faciles à assimiler en ligne pour ma part surtout avec la méthode du profs j'aime bien,/,IPLS,G,P,J,A,I,P
"Je ressens que l'enseignante est motivée lorsqu'elle présente son cours, ce qui lui accorde un intérêt supplémentaire.",/,IHM,Pr,P,J,A,NE,NE
"Le contenu du cours est très intéressant, surtout les notions mêlant les neurosciences.",/,IHM,C,P,J,NE,I,NE
Le cours est plutôt bien structuré.,/,IHM,S,P,J,NE,NE,NE
"Le cours est assez simple à retenir lorsqu'on le lit. Pour un module qui nous enseigne les bonnes pratiques d'exposition visuelle, il serait difficile que la présentation du cours soit mauvaise en elle-même donc je trouve le design simple et beau",/,IHM,D,P,J,NE,NE,NE
L'enseignante est toujours à l'écoute des étudiants lors des séances de cours en ligne je l'adore,/,IHM,CO,P,J,A,I,NE
Je pense que ce cours en ligne est largement bien fait.,/,IHM,G,P,J,NE,NE,NE
J'aime bien la présentation de ce cours,/,IHM,Pr,P,J,NE,I,NE
Le contenu de ce cours est très important,/,IHM,C,P,J,NE,A,NE
Cours mal organisé j'aime pas vraiment,/,IHM,S,N,M,NE,C,NE
Le cours contient beaucoup de texte,/,IHM,D,N,M,NE,NE,NE
Je n'aime pas la méthode de laisser les questions à la fin de la séance je me perds ,/,IHM,CO,N,A,NE,C,NE
Je n'arrive pas à comprendre je sais pas si le module qui est difficile ou la méthode du profs qui n'est pas efficace,/,IHM,G,N,M,NE,C,N
La présentation du cours me donne l'envie de dormir surtout que le profs parle trop et d'une façon lente  ,/,SIC,Pr,N,M,H,C,NE
Le contenu n'est pas pertinent il contient seulement des définitions vagues.,/,SIC,C,N,M,NE,NE,NE
La structure du cours est évidente et prévisible.,/,SIC,S,P,J,NE,NE,NE
Le cours n'est pas attirant sans aucune illustration et avec uniquement du texte brut.,/,SIC,D,N,M,NE,C,NE
"Aucune communication avec l'enseignant, il parle seul et il cherche même pas à comprendre si on a bien compris , si on est à l'aise mais vraiment grave il s'en fout de nous et je l'aime pas ",/,SIC,CO,N,M,H,C,NE
Cours médiocre et un prof qui s'en fout de tout c'est énervant,/,SIC,G,N,C,H,C,NE
on a presque pas eu de cours,/,SIC,G,N,M,NE,NE,NE
Des notions intéressantes ,/,SIC,C,P,J,NE,I,NE
très mal structuré j'aime pas trop,/,SIC,S,N,M,NE,C,NE
trop de texte ça rend la présentation ennuyante ,/,SIC,D,N,E,NE,C,NE
"Presque pas de communication chacun à sa place ennuyé , il y a que le prof qui dit n'importe quoi j'aime pas du tout sa méthode",/,SIC,CO,N,E,H,C,NE
"je ne saurai d'où commencer pour comprendre, durant la séance je me perds trop à cause de prof qui mélange tout et ça me stresse vraiment ",/,SIC,G,N,A,H,C,NE
"Ce cours est merveilleusement présenté, j'aime bien la façon de parler du prof",/,AQUA,Pr,P,J,A,I,NE
"Ce cours aborde énormément de notions qui nous seront très utiles par la suite, sans trop rentrer dans les détails. Il nous donne une vue élargie dans tout le domaine.",/,AQUA,C,P,J,NE,U,NE
"Le cours est très bien structuré, je ne me prends pas trop la tête pour lier les notions entre elles.",/,AQUA,S,P,J,NE,NE,NE
"Les slides de la présentation sont modestes et simplistes, me permettant d'assimiler rapidement les notions.",/,AQUA,D,P,J,NE,NE,NE
L'enseignant fait tous les efforts pour communiquer avec ses étudiants lors de ses séances je l'adore,/,AQUA,CO,P,J,A,I,NE
ce cours en ligne est très bien fait j'apprécie bien la méthode de l'enseignant,/,AQUA,G,P,J,A,I,NE
Les présentations sont assez soignées.,/,PGI,Pr,P,J,NE,NE,NE
Le contenu du cours est assez pertinent bien qu'on pourrait se contenter que du nécessaire sans trop nous étaler dessus.,/,PGI,C,P,J,NE,NE,NE
Le cours est plutôt bien structuré.,/,PGI,S,P,J,NE,NE,NE
"Les présentations sont bourrées de texte du début à la fin, sans aucune illustration j'aime pas vraiment",/,PGI,D,N,M,NE,C,NE
"Le dialogue entre l'enseignante et ses étudiants se fait uniquement en activant le microphone, beaucoup de questions dans le tchat restent sans réponse et ça m'énervent.",/,PGI,CO,N,C,NE,C,NE
J'estime que le méthode en ligne de ce cours est acceptable.,/,PGI,G,P,J,NE,NE,NE
"Ce cours est très bien exposé, l'enseignant maîtrise d'ailleurs sa présentation j'aime bien",/,BDA,Pr,P,J,A,I,NE
"Le contenu est très intéressant, il est la base de plusieurs autres modules et domaines d'intérêt.",/,BDA,C,P,J,NE,I,NE
La structure du cours est cohérente et logique.,/,BDA,S,P,J,NE,NE,NE
La présentation est attractive et animée par l'enseignant.,/,BDA,D,P,J,A,I,NE
L'enseignant communique en temps réel avec ses étudiants j'adore.,/,BDA,CO,P,J,A,I,NE
le cours est très intéressant,/,BDA,G,P,J,NE,I,NE
Le cours est bien présenté ,/,OPT,Pr,P,J,NE,NE,NE
Le contenu du cours est très important,/,OPT,C,P,J,NE,A,NE
Le cours est bien structuré dans un ordre logique,/,OPT,S,P,J,NE,NE,NE
Les slides du cours sont Bien faits ,/,OPT,D,P,J,NE,NE,NE
Très bonne communication entre nous tous j'aime bien ça rend le cours dynamique ,/,OPT,CO,P,J,A,I,NE
Le cours est très bien présenté et expliqué,/,TDM2,Pr,P,J,NE,NE,NE
Les notions présentées dans le cours sont très intéressantes,/,TDM2,C,P,J,NE,I,NE
Le façon dont le cours a été structuré ne m'a pas beaucoup plu,/,TDM2,S,N,M,NE,C,NE
Chaque partie est accompagnée de figures et d'exemples permettant de mieux comprendre,/,TDM2,D,P,J,NE,NE,NE
"Je n'ai pas aimé la méthode de communication, à cause du temps limité de la séance",/,TDM2,CO,N,M,NE,C,NE
Ce cours permet d'acquérir et de comprendre de nouvelles notions très importantes surtout pour notre formation surtout avec ce prof attentionné ,/,TDM2,G,P,J,A,U,NE
La manière dont le cours a été présenté n'est pas du tout attractive j'aime pas trop,/,ALOG,Pr,N,M,NE,C,NE
Un manque considérable d'exemples et d'applications concrètes de ce qui est présenté,/,ALOG,C,N,M,NE,NE,NE
Le cours est mal organisé et très chargé,/,ALOG,S,N,M,NE,C,NE
"Le cours est plutôt bien fait du côté design, les couleurs sont bien choisies et la police est pas assez mal",/,ALOG,D,P,J,NE,NE,NE
Un manque flagrant de communication entre l'enseignant et l'étudiant.Les questions sont souvent ignorées car l'enseignant ne prête pas attention au chat son but et de terminer ce qui était prévu pour la séance et c'est tout ça rend le cours stressant,/,ALOG,CO,N,A,NE,C,NE
Ce cours n'a rien apporté de nouveau,/,ALOG,G,N,M,NE,NE,NE
Le professeur s'attarde sur les détails ce qui fait oublier l'objectif du cour. Les slides sont presque vide donc on ne pourra pas réviser plus tard ,/,COMPIL,Pr,N,M,NE,C,NE
Le contenu est important mais pas bien présenté ça aurait été mieux de faire plus d'exemple et éclaircir l'objectif du module ,/,COMPIL,C,N,M,NE,NE,NE
Des cours pas bien organisés,/,COMPIL,S,N,M,NE,NE,NE
Le cours contient peu de texte et presque que des schémas ,/,COMPIL,D,N,M,NE,NE,NE
"Mauvaise communication avec les étudiants, j'aime pas vraiment la méthode du prof des fois ça me donne envie de le tuer tellement il m'énerve",/,COMPIL,CO,N,C,H,C,NE
Je n'est pas bien compris ce qu'on a fait et où on en est je suis tout le temps perdu  ,/,COMPIL,G,N,A,NE,C,NE
La présentation du cours est assez bien et claire ,/,ML,Pr,P,J,NE,NE,NE
Le contenu du cours est assez important mais ça aurait été mieux si on faisait plus de tp et qu'on les corrigeait pour en comprendre mieux,/,ML,C,P,J,NE,A,NE
Le cours est bien structuré et organisé ,/,ML,D,P,J,NE,NE,NE
Un bon design avec un équilibre entre les schémas tableaux et textes ,/,ML,D,P,J,NE,NE,NE
Je n'aime pas le fait que les étudiants peuvent poser les questions qu'à la fin ce n'est pas une bonne méthode pour bien comprendre le cours,/,ML,CO,N,M,NE,C,NE
Beaucoup de connaissances en un cours avec une prof agréable ,/,ML,G,P,J,A,I,NE
La présentation est bien et claire,/,RDCR,Pr,P,J,NE,NE,NE
Le contenu des cours est très importante et riche ,/,RDCR,C,P,J,NE,A,NE
Une bonne structuration ,/,RDCR,S,P,J,NE,NE,NE
Beaucoup de texte brut,/,RDCR,D,N,M,NE,NE,NE
Il y a que le prof qui parle on s'ennuie vite ,/,RDCR,CO,N,E,NE,C,NE
J'ai bien suivi au début mais j'ai perdu le fils plus tard ,/,RDCR,G,N,M,NE,NE,NE
La présentation du cours est magnifique,/,PDC,Pr,P,J,NE,NE,NE
Le cours est très important et riche en terme d'exemples ,/,PDC,C,P,J,NE,A,NE
Plutôt je dirais très structuré ,/,PDC,S,P,J,NE,NE,NE
"Y a des slides avec beaucoup de texte, j'aimerais bien voir des schéma c'est mieux pour comprendre ",/,PDC,D,N,M,NE,NE,NE
Très bonne communication en cours  j'aime bien le comportement de l'enseignante avec nous,/,PDC,CO,P,J,A,I,NE
Le module est trop chargé j'arrive pas à tout assimiler en ligne ,/,PDC,G,N,M,NE,C,N
Cours bien présenté rien à dire,/,QLOG,Pr,P,J,NE,NE,NE
Contenu académique  certainement important,/,QLOG,C,P,J,NE,A,NE
Cours structuré,/,QLOG,S,P,J,NE,NE,NE
J'aime pas le design des slides,/,QLOG,D,N,M,NE,C,NE
J'aime pas la méthode de dialogue utilisé en TD ,/,QLOG,CO,N,M,NE,C,NE
C'est trop chargé,/,QLOG,G,N,M,NE,NE,NE
La présentation du cours est assez bien faite,/,QLOG,Pr,P,J,NE,NE,NE
Le cours comporte beaucoup d'exemples et cela permet de mieux comprendre ,/,QLOG,C,P,J,NE,NE,NE
Le cours est très bien structuré et suit un ordre logique ,/,QLOG,S,P,J,NE,NE,NE
"Tout est modéré, pas assez d'images et trop de texte ",/,QLOG,D,N,M,NE,NE,NE
Possibilité d'intervenir et de poser des questions à n'importe quel moment j'aime bien le prof,/,QLOG,CO,P,J,A,I,NE
Ce cours m'a assez plu ,/,QLOG,G,P,J,NE,I,NE
"Le prof utilise le tableau blanc, mais il a une mauvaise caméra on voit presque 144p donc on n'arrive pas à suivre parce que c'est impossible de suivre le flou",/,ALG3,Pr,N,M,NE,C,NE
Des notions intéressantes et contenu riche ,/,ALG3,C,P,J,NE,I,NE
je pense qu'il n y a pas de communication du tout présentation puis vous avez compris ou non et c'est fini il m'énerve ce prof,/,ALG3,CO,N,C,H,C,NE
Je n'arrive pas à comprendre et à suivre en distanciel ,/,ALG3,G,N,M,NE,C,N
Cours sous forme d'une séance de lecture  le prof ne fait que lire le contenue les slides un par un sans arrêt et on sait tous le faire nous on veut comprendre,/,ECON,Pr,N,M,H,NE,NE
Trop de texte dans un même slide,/,ECON,D,N,M,NE,NE,NE
Il n'y a pas vraiment une communication,/,ECON,CO,N,M,NE,NE,NE
Le distanciel a rendu le cours moins intéressant dommage,/,ECON,G,N,M,NE,C,NE
"Le fait que ça soit aussi rapide m'a perturbé, je n'arrivais pas vraiment à suivre.",/,ARCH1,G,N,A,NE,C,NE
Très bonne communication avec le prof j'aime bien,/,ARCH1,CO,P,J,A,I,NE
Le design est très basique,/,ARCH1,D,N,M,NE,NE,NE
Je trouve la méthodologie du professeur désorganisée et je me sens mal à l'aise avec le déroulement des séances,/,THP,Pr,N,A,NE,C,NE
"Le contenu du cours est intéressant et motivant, j'aime bien les notions qu'il nous apporte",/,THP,C,P,J,NE,I,NE
Je me perds parfois durant le passage d'un chapitre à un autre,/,THP,S,N,M,NE,C,NE
Il peut avoir un peu plus de couleurs à mon avis. Il est très simple et ordinaire,/,THP,D,N,M,NE,NE,NE
Il m'arrive souvent durant la séance que je m'ennuie car il y a peu d'interaction,/,THP,CO,N,E,NE,C,NE
J'ai quand même appris beaucoup de notions,/,THP,G,P,J,NE,NE,NE
Le prof expliquait d'une manière fluide et directe le cours en utilisant un langage simple je l'adore,/,OUTILS,Pr,P,J,A,I,NE
"Le cours contenait des exemples parlants et directs, cela m'a permis de comprendre directement l'utilité de l'élément présenté.",/,OUTILS,C,P,J,NE,NE,NE
Un cours qui expose les éléments d'une manière très cohérente avec des rubriques spéciales pour les éléments d'exception.,/,OUTILS,S,P,J,NE,NE,NE
Un design simple et minimaliste mais qui contient le nécessaire comme des fragments du code.,/,OUTILS,D,P,J,NE,NE,NE
"Une très bonne communication, le prof est toujours présent pour nous orienter et nous guider je l'apprécie vraiment",/,OUTILS,CO,P,J,A,I,NE
J'ai apprécié ce cours car j'ai pu acquérir beaucoup de connaissances sur les outils de génie logiciel notamment les tests. C'est l'un des modules que j'ai aimé suivre en ligne ,/,OUTILS,G,P,J,NE,I,NE
J'adore la présentation et l'explication du prof tout est détaillé,/,SGBD,Pr,P,J,A,I,NE
des notions intéressantes et contenu riche,/,SGBD,C,P,J,NE,I,NE
cours structuré et organisé,/,SGBD,S,P,J,NE,NE,NE
design attirant,/,SGBD,D,P,J,NE,I,NE
"J'aime bien la communication qui est entre nous et le profs, on pose nos questions quand on veut",/,SGBD,CO,P,J,A,I,NE
La façon d'enseigner ce cours en ligne est juste parfaite rien à dire j'étais toujours motivée à suivre.,/,SGBD,G,P,J,A,I,NE
"On dirait une séance de lecture, j'ai pas aimé la façon de présenter le cours la prof est ennuyante",/,IHM,Pr,N,E,H,C,NE
Des notions théoriques très intéressantes ,/,IHM,C,P,J,NE,I,NE
Le cours est organisé et bien structuré,/,IHM,S,P,J,NE,NE,NE
Trop de textes et peu de schéma ce qui vraiment perturber ma concentration,/,IHM,D,N,M,NE,C,NE
"Il n'y a pas vraiment une communication, des fois on s'arrête juste pour voir s'il y a des questions et ça rend le cours ennuyant",/,IHM,CO,N,E,NE,C,NE
"Je me sentais pas à l'aise durant le cours, aucune motivation pour suivre",/,IHM,G,N,A,NE,C,NE
"J'ai pas aimé la présentation et la méthode du profs, je m'ennuyais",/,ALOG,Pr,N,E,NE,C,NE
"le contenu est important mais non détaillé, il faut toujours voir ailleurs pour bien comprendre",/,ALOG,C,N,M,NE,A,NE
je trouve que le cours est structuré,/,ALOG,S,P,J,NE,NE,NE
Il est simple et ça ne me gêne pas,/,ALOG,D,P,J,NE,NE,NE
il y a pas vraiment une interaction entre nous vu que déjà y a peu d'étudiants présents dans ce cours ça donne pas envie d'assister avec le profs qui s'en fout,/,ALOG,CO,N,M,H,C,NE
"il faut revoir la façon de présenter et expliquer le cours, vraiment j'avais du mal à comprendre directement.",/,ALOG,G,N,M,NE,C,NE
cours bien présenté et expliqué,/,BDM,Pr,P,J,NE,NE,NE
Contenu important avec des nouvelles notions chaque séance,/,BDM,C,P,J,NE,A,NE
Le cours est logique et organisé,/,BDM,S,P,J,NE,NE,NE
Trop de formules et textes,/,BDM,D,N,M,NE,NE,NE
On se communique bien avec le profs que j'adore et entre nous ce qui rend la séance active,/,BDM,CO,P,J,A,I,NE
"J'étais toujours motivée durant les séances de ce cours, j'aime bien les notions abordées et les interactions avec le profs et mes amis.",/,BDM,G,P,J,A,I,NE
Le prof lit les slides rapidement,/,TDM1,Pr,N,M,NE,NE,NE
"je trouve que le contenu du cours n'est pas vraiment riche, il contient seulement les notions de base",/,TDM1,C,N,M,NE,NE,NE
je trouve que le cours est organisé,/,TDM1,S,P,J,NE,NE,NE
"il y a beaucoup de couleurs, ça pique les yeux",/,TDM1,D,N,M,NE,C,NE
il n'y a pas de communication entre  le prof et les étudiants c'est ennuyant,/,TDM1,CO,N,E,NE,C,NE
je n'aime pas le cours car c'est un module de développement normalement on essaie de programmer et non pas de lire les notions de base  ,/,TDM1,G,N,M,NE,NE,NE
le prof lisait seulement les slides ,/,TDM1,Pr,N,M,NE,NE,NE
le contenu est bon mais le prof donne les exemples juste en parlant et ne les présentent pas ,/,TDM1,C,N,M,NE,NE,NE
le cours a un ordre logique,/,TDM1,S,P,J,NE,NE,NE
trop de couleur dans tous les slides ,/,TDM1,D,N,M,NE,NE,NE
une bonne communication lorsqu'on pose des questions j'aime bien,/,TDM1,CO,P,J,A,I,NE
je préfère la pratique dans les cours de développement ,/,TDM1,G,NE,NE,NE,NE,NE
présentation catastrophique le prof répète les même slides plusieurs fois je l'aime pas  ,/,ALOG,Pr,N,M,H,C,NE
contenu vide pas trop d'exemples pour comprendre ,/,ALOG,C,N,M,NE,NE,NE
le cour est mal structuré,/,ALOG,S,N,M,NE,NE,NE
il y a pas les schémas et beaucoup de texte,/,ALOG,D,N,M,NE,NE,NE
"le prof ne comprend pas nos questions ou il fait semblant , il répond toujours à ce qu'il veut lui c'est énervant",/,ALOG,CO,N,C,H,C,NE
j'aime pas le prof il n'essaye pas de nous comprendre et il fait pas des efforts pour changer sa méthode et nous mettre à l'aise c'est pas la bonne méthode pour étudier l'architecture logicielle en tout cas,/,ALOG,G,N,M,H,C,NE
le prof répète les même choses et n'explique pas les notions complexes peut être lui aussi il ne les a pas compris,/,ALOG,Pr,N,M,H,NE,NE
contenu intéressant ,/,ALOG,C,P,J,NE,I,NE
la structure de cours est bonne,/,ALOG,S,P,J,NE,NE,NE
pas de tout un design très moche,/,ALOG,D,N,M,NE,NE,NE
une bonne communication avec le prof,/,ALOG,CO,P,J,NE,NE,NE
cour très agréable j'aime,/,ALOG,G,P,J,NE,I,NE
l'enseignante parle trop c'est ennuyant,/,QLOG,Pr,N,E,H,C,NE
le cours contient des bons exemples pour comprendre,/,QLOG,C,P,J,NE,NE,NE
il y a l'enchaînement entre les titres mais pas bien organisé,/,QLOG,S,N,M,NE,NE,NE
beaucoup de texte au point auquel vous pouvez pas tout lire,/,QLOG,D,N,M,NE,C,NE
une bonne communication durant la séances,/,QLOG,CO,P,J,NE,NE,NE
"cour ennuyeux en ligne, je préfère quand on le faisait en présentiel   ",/,QLOG,G,N,E,NE,C,NE
j'aime bien la présentation de l'enseignante,/,QLOG,Pr,P,J,A,I,NE
un bon contenu pour comprendre la qualité du logiciels,/,QLOG,C,P,J,NE,NE,NE
le cour est bien organisé,/,QLOG,S,P,J,NE,NE,NE
"le design n'est pas vraiment bon, je préféré s'il contient moins de texte et plus du schémas explicatifs ",/,QLOG,D,N,M,NE,NE,NE
"j'aime bien la façon de la communication avec la prof, je l'aime bien",/,QLOG,CO,P,J,A,I,NE
le cours est bien et la méthode d'enseignement est aussi magnifique ,/,QLOG,G,P,J,A,I,NE
la présentation du prof est très rapide ,/,SGBD,Pr,N,M,NE,NE,NE
trop de contenu pour peu d'informations et répétitions des notions ,/,SGBD,C,N,M,NE,NE,NE
"cour pas bien organisé, on se sent perdu si on le lit seul",/,SGBD,S,N,M,NE,C,NE
trop de texte et de couleurs,/,SGBD,D,N,M,NE,NE,NE
l'enseignante ne donne pas le temps au étudiants pour poser trop de questions et ça me stresse ,/,SGBD,CO,N,A,NE,C,NE
"cours trop compliqué, le distanciel le rend encore pire",/,SGBD,G,N,M,NE,C,NE
La présentation est très rapide ,/,SGBD,Pr,N,M,NE,NE,NE
contenu important mais trop d'informations ,/,SGBD,C,N,M,NE,A,NE
les slides sont bien structurés,/,SGBD,S,P,J,NE,NE,NE
le design est trop chargé ,/,SGBD,D,N,M,NE,NE,NE
j'aime bien la méthode faite par l'enseignant pour communiquer ça rend la séance dynamique et active,/,SGBD,CO,P,J,A,I,NE
"très important, c'est un bon cours",/,SGBD,G,P,J,NE,A,NE
c'est comme une séance de lecture ,/,IHM,Pr,N,M,NE,NE,NE
contenu très basique et manque de nouvelles méthodes et idée pour l'interface homme machine ,/,IHM,C,N,M,NE,NE,NE
le cour est organisé avec un bon ordre,/,IHM,S,P,J,NE,NE,NE
"beaucoup de texte, tailles des images pas adaptatives",/,IHM,D,N,M,NE,NE,NE
un peu de communication la prof est ennuyante,/,IHM,CO,N,E,H,C,NE
cours important mais la méthode d'enseignement pas bonne et contient des anciennes informations ,/,IHM,G,N,M,NE,NE,NE
l'enseignant présente bien le cours j'aime bien,/,IHM,Pr,P,J,A,I,NE
contenu très riche,/,IHM,C,P,J,NE,NE,NE
le cour n'est pas bien structuré,/,IHM,S,N,M,NE,NE,NE
design très ancien qui respecte pas les notions des ihm,/,IHM,D,N,M,NE,NE,NE
l'enseignante accepte tout genre de questions et remarques j'adore,/,IHM,CO,P,J,A,I,NE
cours essentiel pour comprendre comment faire les bonnes interfaces ,/,IHM,G,P,J,NE,U,NE
"présentation catastrophique, l'enseignante présente des notions difficile juste en lisant les diapos  ",/,ML,Pr,N,M,H,C,N
contenu très important et bon ,/,ML,C,P,J,NE,A,NE
cour pas du tout structuré,/,ML,S,N,M,NE,NE,NE
mauvais design,/,ML,D,N,M,NE,NE,NE
 Je n'aime pas la méthode de laisser les questions à la fin de la séance ça me stresse,/,ML,CO,N,A,NE,C,NE
 j'ai pas bien compris les notions présentées en ligne,/,ML,G,N,M,NE,NE,NE
l'enseignante est dynamique j'adore,/,ML,Pr,P,J,A,I,NE
contenu très intéressant ,/,ML,C,P,J,NE,I,NE
j'aime pas la structure,/,ML,S,N,M,NE,C,NE
" design trop classique, on peut faire mieux pour un module de machine learning",/,ML,D,N,M,NE,NE,NE
très satisfaite par la communication de l'enseignante j'aime bien,/,ML,CO,P,J,A,I,NE
un cours bien avec la meilleure enseignante,/,ML,G,P,J,A,NE,NE
l'enseignant présente bien le cours j'adore,/,PDJ,Pr,P,J,A,I,NE
contenu de base seulement ,/,PDJ,C,N,M,NE,NE,NE
pas bien organisé et mal structuré,/,PDJ,S,N,M,NE,NE,NE
un bon design pas trop chargé c'est bien,/,PDJ,D,P,J,NE,NE,NE
Manque de  communication durant la séance je m'ennuyais ,/,PDJ,CO,N,E,NE,C,NE
je préfère si on programme durant la séance et pas seulement faire les notions théoriques car comme ça c'est vraiment ennuyant  ,/,PDJ,G,N,E,NE,C,NE
la présentation est bien et pas très compliquée,/,PDJ,Pr,P,J,NE,NE,NE
contenu de base important ,/,PDJ,C,P,J,NE,A,NE
cour très bien organisé et structuré,/,PDJ,S,P,J,NE,NE,NE
un bon design,/,PDJ,D,P,J,NE,NE,NE
"le prof est gentil, il répond à tous les questions ",/,PDJ,CO,P,J,A,NE,NE
un bon cours pour apprendre les bases de programmation en django dans une petite période,/,PDJ,G,P,J,NE,NE,NE
J'ai aimé la méthode du profs,/,QLOG,Pr,P,J,A,I,NE
Le contenu était trop informatif j'adore,/,QLOG,C,P,J,NE,I,NE
cours organisé,/,QLOG,S,P,J,NE,NE,NE
"Le design est pas mal , il y 'avait pas trop de texte",/,QLOG,D,P,J,NE,NE,NE
"une très bonne communication entre le prof et nous, à tout moment on peut prendre la parole je l'aime",/,QLOG,CO,P,J,A,I,NE
"Le seul module ou je n'étais pas stressée derrière mon écran et ça grâce à la méthode du prof, il me motive",/,QLOG,G,P,J,A,I,NE
C'est trop chargé en paroles,/,IGL,Pr,N,M,NE,NE,NE
"Le contenu est suffisant, assez riche",/,IGL,C,P,J,NE,NE,NE
L'ordre est logique,/,IGL,S,P,J,NE,NE,NE
Pas d'animations,/,IGL,D,N,M,NE,NE,NE
Il y a pas de l'interaction,/,IGL,CO,N,M,NE,NE,NE
"C'est assez riche en informations, cependant le support me semble suffisant ",/,IGL,G,P,J,NE,NE,NE
"L'algorithmique est l'un des modules fondamentaux dans notre formation , j'aime pas la présentation du prof car il est  ennuyant et je pense que lire des slides seulement ne va pas nous apporter grand chose vu qu'on peut le faire seuls ",/,ALSDS,Pr,N,E,H,C,NE
