Commentaire,Séance,Module,Présentation,Contenu,Design,Général,Communication,Structure,Utilité,Intrinsèque,Accomplissement,Cout,Anxiété,Colère,Ennui,Joie,espoir,"
désespoir",Satisfaction,Gratitude,"
Déception",Mécontentement,Confusion,Polarité,Attitude,Attente,Valeur,Sentiment,Aspect
je trouve que le cours est structuré,/,Esi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,C,M,G
Il est simple et ça ne me gêne pas,/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,Pr
il y a pas vraiment une interaction entre nous vu que déjà y a peu d'étudiants présents dans ce cours ça donne pas envie d'assister avec le profs qui s'en fout,/,Esi,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,N,H,NE,A,J,C
"il faut revoir la façon de présenter et expliquer le cours, vraiment j'avais du mal à comprendre directement.",/,Esi,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,J,S
cours bien présenté et expliqué,/,Esi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,M,D
Contenu important avec des nouvelles notions chaque séance,/,Esi,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,I,J,CO
Le cours est logique et organisé,/,Esi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,I,J,G
Trop de formules et textes,/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,M,Pr
On se communique bien avec le profs que j'adore et entre nous ce qui rend la séance active,/,Esi,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,P,A,NE,NE,M,C
"J'étais toujours motivée durant les séances de ce cours, j'aime bien les notions abordées et les interactions avec le profs et mes amis.",/,Esi,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,P,A,P,NE,J,S
Le prof lit les slides rapidement,/,Esi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,C,M,D
"je trouve que le contenu du cours n'est pas vraiment riche, il contient seulement les notions de base",/,Esi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,C,E,CO
je trouve que le cours est organisé,/,Esi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,M,G
"il y a beaucoup de couleurs, ça pique les yeux",/,Esi,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,M,Pr
il n'y a pas de communication entre  le prof et les étudiants c'est ennuyant,/,Esi,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,N,NE,NE,NE,M,C
je n'aime pas le cours car c'est un module de développement normalement on essaie de programmer et non pas de lire les notions de base  ,/,Esi,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,N,NE,NE,NE,J,S
le prof lisait seulement les slides ,/,Esi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,M,D
le contenu est bon ,/,Esi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,N,NE,NE,I,J,CO
le prof donne les exemples juste en parlant et ne les présentent pas,/,Esi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,NE,G
le cours a un ordre logique,/,Esi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,C,M,Pr
trop de couleur dans tous les slides ,/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,M,C
une bonne communication lorsqu'on pose des questions j'aime bien,/,Esi,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,P,A,NE,NE,M,S
je préfère la pratique dans les cours de développement ,/,Esi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NE,NE,NE,NE,M,D
présentation catastrophique le prof répète les même slides plusieurs fois je l'aime pas  ,/,Esi,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,N,H,NE,C,C,CO
contenu vide pas trop d'exemples pour comprendre ,/,Esi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,C,M,G
le cour est mal structuré,/,Esi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,M,Pr
il y a pas les schémas et beaucoup de texte,/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,I,J,C
"le prof ne comprend pas nos questions ou il fait semblant , il répond toujours à ce qu'il veut lui c'est énervant",/,Esi,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,N,H,NE,NE,J,S
j'aime pas le prof il n'essaye pas de nous comprendre et il fait pas des efforts pour changer sa méthode et nous mettre à l'aise c'est pas la bonne méthode pour étudier l'architecture logicielle en tout cas,/,Esi,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,N,H,NE,NE,M,D
le prof répète les même choses et n'explique pas les notions complexes peut être lui aussi il ne les a pas compris,/,Esi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,H,NE,NE,J,CO
contenu intéressant ,/,Esi,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,I,J,G
la structure de cours est bonne,/,Esi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,C,E,Pr
pas de tout un design très moche,/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,J,C
une bonne communication avec le prof,/,Esi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,M,S
cour très agréable j'aime,/,Esi,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,C,M,D
l'enseignante parle trop c'est ennuyant,/,Esi,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,N,H,NE,NE,J,CO
le cours contient des bons exemples pour comprendre,/,Esi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,C,E,G
il y a l'enchaînement entre les titres mais pas bien organisé,/,Esi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,I,J,Pr
beaucoup de texte au point auquel vous pouvez pas tout lire,/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,J,C
une bonne communication durant la séances,/,Esi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,S
"cour ennuyeux en ligne, je préfère quand on le faisait en présentiel   ",/,Esi,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,N,NE,NE,NE,M,D
j'aime bien la présentation de l'enseignante,/,Esi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,A,NE,I,J,CO
un bon contenu pour comprendre la qualité du logiciels,/,Esi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,I,J,G
le cour est bien organisé,/,Esi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,M,Pr
"le design n'est pas vraiment bon, je préféré s'il contient moins de texte et plus du schémas explicatifs ",/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,M,C
"j'aime bien la façon de la communication avec la prof, je l'aime bien",/,Esi,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,P,A,NE,C,M,S
le cours est bien et la méthode d'enseignement est aussi magnifique ,/,Esi,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,P,A,NE,NE,M,D
la présentation du prof est très rapide ,/,Esi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,C,A,CO
trop de contenu pour peu d'informations et répétitions des notions ,/,Esi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,C,M,G
"cour pas bien organisé, on se sent perdu si on le lit seul",/,Esi,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,N,NE,NE,NE,M,Pr
trop de texte et de couleurs,/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,A,M,C
l'enseignante ne donne pas le temps au étudiants pour poser trop de questions et ça me stresse ,/,Esi,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,J,S
"cours trop compliqué, le distanciel le rend encore pire",/,Esi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,M,D
La présentation est très rapide ,/,Esi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,I,J,CO
contenu important mais trop d'informations ,/,Esi,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,A,J,G
les slides sont bien structurés,/,Esi,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,M,Pr
le design est trop chargé ,/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,M,C
j'aime bien la méthode faite par l'enseignant pour communiquer ça rend la séance dynamique et active,/,Esi,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,P,A,NE,NE,J,S
"très important, c'est un bon cours",/,Esi,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,M,D
c'est comme une séance de lecture ,/,Esi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,C,E,CO
contenu très basique et manque de nouvelles méthodes et idée pour l'interface homme machine ,/,Esi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,M,G
le cour est organisé avec un bon ordre,/,Esi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,I,J,Pr
"beaucoup de texte, tailles des images pas adaptatives",/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,J,C
un peu de communication la prof est ennuyante,/,Esi,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,N,H,NE,NE,M,S
cours important ,/,Esi,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,N,NE,NE,NE,M,D
mais la méthode d'enseignement pas bonne et contient des anciennes informations,/,Esi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,P,NE,NE,I,J,CO
l'enseignant présente bien le cours j'aime bien,/,Esi,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,P,A,NE,U,J,G
contenu très riche,/,Esi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,C,M,Pr
le cour n'est pas bien structuré,/,Esi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,A,J,C
design très ancien qui respecte pas les notions des ihm,/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,M,S
l'enseignante accepte tout genre de questions et remarques j'adore,/,Esi,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,P,A,NE,NE,M,D
cours essentiel pour comprendre comment faire les bonnes interfaces ,/,Esi,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,C,A,CO
"présentation catastrophique, l'enseignante présente des notions difficile juste en lisant les diapos  ",/,Esi,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,N,H,N,NE,M,G
contenu très important et bon ,/,Esi,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,I,J,Pr
cour pas du tout structuré,/,Esi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,I,J,C
mauvais design,/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,C,M,S
 Je n'aime pas la méthode de laisser les questions à la fin de la séance ça me stresse,/,Esi,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,M,D
 j'ai pas bien compris les notions présentées en ligne,/,Esi,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,N,NE,N,I,J,CO
l'enseignante est dynamique j'adore,/,Esi,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,P,A,NE,NE,J,G
contenu très intéressant ,/,Esi,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,I,J,Pr
j'aime pas la structure,/,Esi,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,M,C
" design trop classique, on peut faire mieux pour un module de machine learning",/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,M,S
très satisfaite par la communication de l'enseignante j'aime bien,/,Esi,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,P,A,NE,NE,J,D
un cours bien avec la meilleure enseignante,/,Esi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,A,NE,C,E,CO
l'enseignant présente bien le cours j'adore,/,Esi,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,P,A,NE,C,E,G
contenu de base seulement ,/,Esi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,J,Pr
pas bien organisé et mal structuré,/,Esi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,A,J,C
un bon design pas trop chargé c'est bien,/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,S
Manque de  communication durant la séance je m'ennuyais ,/,Esi,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,N,NE,NE,NE,J,D
je préfère si on programme durant la séance et pas seulement faire les notions théoriques car comme ça c'est vraiment ennuyant  ,/,Esi,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,N,NE,NE,NE,J,CO
la présentation est bien et pas très compliquée,/,Esi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,G
contenu de base important ,/,Esi,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,I,J,Pr
cour très bien organisé et structuré,/,Esi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,I,J,C
un bon design,/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,S
"le prof est gentil, il répond à tous les questions ",/,Esi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,P,A,NE,NE,J,D
un bon cours pour apprendre les bases de programmation en django dans une petite période,/,Esi,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,I,J,CO
J'ai aimé la méthode du profs,/,Esi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,A,NE,I,J,G
Le contenu était trop informatif j'adore,/,Esi,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,P,NE,NE,NE,M,Pr
cours organisé,/,Esi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,C
"Le design est pas mal , il y 'avait pas trop de texte",/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,S
"une très bonne communication entre le prof et nous, à tout moment on peut prendre la parole je l'aime",/,Esi,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,P,A,NE,NE,M,D
"Le seul module ou je n'étais pas stressée derrière mon écran et ça grâce à la méthode du prof, il me motive",/,Esi,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,P,A,NE,NE,M,CO
C'est trop chargé en paroles,/,Esi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,J,G
"Le contenu est suffisant, assez riche",/,Esi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,C,E,Pr
L'ordre est logique,/,Esi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,M,C
Pas d'animations,/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,I,J,S
Il y a pas de l'interaction,/,Esi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,M,D
"C'est assez riche en informations, cependant le support me semble suffisant ",/,Esi,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,NE,CO
L'algorithmique est l'un des modules fondamentaux dans notre formation,/,Esi,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,N,H,NE,C,J,G
j'aime pas la présentation du prof car il est ennuyant et je pense que lire des slides seulement ne va pas nous apporter grand chose vu qu'on peut le faire seuls,/,Esi,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,N,H,NE,NE,M,Pr
Ça aurait été mieux si y’avais plus de pratique ,/,Esi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,N,NE,NE,NE,NE,C
Le programme est riche et très intéressant ,/,Esi,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,S
il a l'air bien mais ce n'est pas si important car on nous envoie même pas le cours présenté pas la prof x),/,Esi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,N,NE,NE,NE,M,D
vu que y'avais pas assez de temps la prof a préféré qu'on pose nos questions sur un sheet pour qu'elle réponde à la fois ,/,Esi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NE,NE,NE,C,M,CO
c’est l’un de mes modules préférés mais y’avais pas assez de temps pour bien se concentrer ,/,Esi,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,P,NE,NE,NE,M,G
Le cours est trop chargé,/,Esi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,M,Pr
Le cours d'anad se concentre beaucoup sur le côté mathématique ( application des formules .. ) ça serait plus intéressant de se concentrer sur le côté analyse des données et laisser les calculs pour R,/,Esi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NE,NE,NE,NE,M,C
Le cours est assez bien organisé,/,Esi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,S
Cours trop chargé de formules et texte,/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,J,D
L'enseignante va très vite et la plupart n'arrivent pas à suivre,/,Esi,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,N,NE,N,NE,J,CO
Ce cours est très compliqué ,/,Esi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,J,G
"le professeur n'était pas doué pour expliquer les concepts sans tableau blanc et sans le format d'enseignement habituel, d'autant plus que le module contient beaucoup de mathématiques.",/,Esi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,H,NE,I,J,Pr
le cours n'a pas assez d'explications sur l'intuition derrière ce que nous étudiions.,/,Esi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,J,C
le cours est bien structuré.,/,Esi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,S
je pense qu'ils ont utilisé du latex qui était bon.,/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,D
Très bonne communication entre le prof et les étudiants,/,Esi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,CO
le contenu du cours est très riche,/,Esi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,I,J,G
J'ai bien aimé la bonne présentation du prof et la structure du document pdf,/,Esi,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,A,NE,I,J,Pr
Le cours contient beaucoup d'exemples ce qui facilite la compréhension,/,Esi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,A,J,C
Le cours était très bien structuré et lisible,/,Esi,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,I,J,S
Les couleurs étaient bien choisies et les pages n'étaient pas trop chargées,/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,M,D
Très bonne communication,/,Esi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,C,C,CO
Ce cours m'a beaucoup plu,/,Esi,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,P,NE,NE,C,A,G
J'aime bien la présentation de ce cours.,/,Esi,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,Pr
Le contenu de ce cours est très important.,/,Esi,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,P,NE,NE,NE,J,C
 j’aime vraiment ce cours il est bien structuré et dans un ordre très logique.,/,Esi,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,S
"Il y a peu d'images et schémas, Le cours contient beaucoup de texte.",/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,J,D
Je n'aime pas la méthode de laisser les questions à la fin de la séance car c'est énervant .,/,Esi,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,N,NE,NE,I,J,CO
le cour de SFSD m'a rendu angoissé .,/,Esi,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,N,NE,NE,I,J,G
Le cours est bien présenté,/,Esi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,Pr
Le contenu est très enrichissant,/,Esi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,I,J,C
Bien structuré,/,Esi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,S
Les slides sont bien présenté,/,Esi,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,D
"Le prof communique bien avec les étudiants et raconte des faits réel qui aident à nous mettre dans la situation et  comprendre, c'est le meilleur prof",/,Esi,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,P,A,P,NE,J,CO
Ce cours est très intéressant,/,Esi,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,G
La présentation du prof est parfaite ,/,Esi,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,P,A,NE,I,J,Pr
"tout est parfait avec ce prof, je l'adore",/,Esi,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,P,A,NE,NE,M,C
"super organisé , le temps nous suffit toujours ",/,Esi,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,P,NE,NE,NE,J,S
le design est parfait ,/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,P,NE,NE,NE,J,D
"on pose des questions à tout moment , le prof gère bien ça, il est super compétent ",/,Esi,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,A,NE,NE,J,CO
"on comprend tous , sans exception ",/,Esi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,I,M,G
La méthode de l'enseignement était formidable c'est ma préférée,/,Esi,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,P,A,NE,NE,J,Pr
Le programme contient des cours pas du tout importants ,/,Esi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,NE,C
Cours bien structuré et bien expliqué ,/,Esi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,S
Cours bien designé ,/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,NE,J,D
La communication est très bonne ,/,Esi,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,C,C,CO
C'est pas intéressant d'étudier ce module,/,Esi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,NE,NE,C,NE,G
La présentation était bonne,/,Esi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,I,J,Pr
Ça serait mieux si le cours avait plus d'exemples,/,Esi,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NE,NE,NE,U,J,C
Le cours était ordonné,/,Esi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,I,J,S
Le design était correct,/,Esi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,P,NE,NE,A,J,D
"coupures et problèmes de connexion, ca m'énerve",/,Esi,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,N,NE,NE,NE,J,CO
Quelques notions sont difficiles à comprendre,/,Esi,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,N,NE,N,I,J,G
