Commentaire,Séance,Module,Aspect,Polarité,Sentiment,Attitude
présentation  bien passée j'admire vraiment la méthode du prof et sa façon de parler ,27/01/2021,ALSDS,Pr,P,J,A
Le contenu était intéressant,27/02/2021,ALSDS,C,P,J,NE
Très bonne structure pour ce cours,27/01/2021,ALSDS,S,P,J,NE
"Pas trop d couleurs , le prof écrit son analyse sur un fichier word et c'est tout",27/01/2021,ALSDS,D,N,M,NE
Très bonne interaction entre les étudiants et le prof,27/01/2021,ALSDS,CO,P,J,NE
"En général, une séance d'une heure ou une heure et demi n'est pas suffisante pour avoir plus d'explication ou plus d'exemples mais en gros c'était bien passé",27/01/2021,ALSDS,G,P,J,NE
"J'aime l'inter réaction entre le prof et nous surtout qu'on peut poser des questions par chat et il répond dès qu'il les voit, j'adore vraiment ce prof",27/01/2021,ALSDS,Pr,P,J,A
Contenu complet avec trop d'exercices j'aime bien ,27/01/2021,ALSDS,C,P,J,NE
Le cours est organisé,27/01/2021,ALSDS,S,P,J,NE
Rien à dire sur le design puisque les cours sont très attractifs et bien organisés,27/01/2021,ALSDS,D,P,J,NE
Je n'aime pas quand le prof demande à être écouté jusqu'à la fin car parfois la question est sur une partie de ses paroles et donc nécessite une réponse direct.,27/01/2021,ALSDS,CO,N,M,NE
J'apprécie vraiment cette séance,27/01/2021,ALSDS,G,P,J,NE
Je l'aime ! sa façon de présenter et expliquer tout est parfait ,31/01/2021,ANAL1,Pr,P,J,A
"contenu très explicite, j'ai bien compris",31/01/2021,ANAL1,C,P,J,NE
séance structurée et cohérente,31/01/2021,ANAL1,S,P,J,NE
le design est bien,31/01/2021,ANAL1,D,P,J,NE
communication parfaite j'adore vraiment cette séance ,31/01/2021,ANAL1,CO,P,J,NE
J'ai adoré cette séance j'ai bien compris et suivi avec le prof,31/01/2021,ANAL1,G,P,J,NE
Le td est bien présenté,/,TICO,Pr,P,J,NE
Le contenu du TD est enrichissant en terme de culture d'entreprise,/,TICO,C,P,J,NE
Assez structuré,/,TICO,S,P,J,NE
Il contient des schémas explicatifs,/,TICO,D,P,J,NE
assez bonne communication entre le prof et les étudiants ça rend le cours actif ,/,TICO,CO,P,J,NE
Assez bon cours je m'en sentais bien et j'ai bien compris  ,/,TICO,G,P,J,NE
"J'aime pas la présentation du cours,C'est difficile de présenter les mathématiques sans un tableau et un stylo",/,ANAD,Pr,N,M,NE
Le contenu du cours est intéressant,/,ANAD,C,P,J,NE
Cours bien organisé,/,ANAD,S,P,J,NE
Le design est parfait et attirant,/,ANAD,D,P,J,NE
Manque d'interaction des étudiants c'est ennuyant ,/,ANAD,CO,N,E,NE
Beaucoup de notions à comprendre dans un temps limité,/,ANAD,G,N,M,NE
Le cours est présenté rapidement sans pause j'aime pas vraiment cette méthode,/,ASI,Pr,N,M,NE
Le contenu du cours est riche,/,ASI,C,P,J,NE
Le cours est bien organisé et structuré,/,ASI,S,P,J,NE
"chaque notion est expliqué avec un schéma, ce qui permet d'avoir une information synthétique et mieux retenir les notions, j'adore",/,ASI,D,P,J,NE
Je n'aime pas la méthode de laisser les questions à la fin de la séance je me perds et ça me stresse,/,ASI,CO,N,A,NE
Il y a trop d'informations qui sont énoncées rapidement donc même si le cours est intéressant le message ne passe pas bien,/,ASI,G,N,M,NE
"Un enseignant très charismatique, qui donne envie qu'on l'écoute je l'adore ",/,ASI,Pr,P,J,A
"Le cours c'est l'enseignant et ses expériences professionnelles, et on oublie cela très vite sans qu'il y ait un support complet.",/,ASI,C,N,M,NE
Le peu qui est présenté est assez bien structuré.,/,ASI,S,P,J,NE
Les slides sont assez vides.,/,ASI,D,N,M,NE
La communication avec l'enseignant est unilatérale ça rend la séance ennuyante,/,ASI,CO,N,E,NE
j'adore le prof de ce cours il me donne toujours l'envie d'assister ,/,ASI,G,P,J,A
J'aime bien la présentation du cours et la manière dans lesquelles l'enseignant informe,/,ANAD,Pr,P,J,A
Le contenu de ce cours est très important,/,ANAD,C,P,J,NE
le cours est bien structuré et bien organisé on le fait en deux partie une partie qui est théorique et l'autre on applique (programmation),/,ANAD,S,P,J,NE
le cours est bien il contient  des images et de text,/,ANAD,D,P,J,NE
souvent le prof pose des  questions  mais il ya des problèmes de connexion donc je prends de temp pour répondre et communiquer et ça m'angoisse.,/,ANAD,CO,N,A,NE
"C'est incroyable la quantité de connaissances que j'ai acquises à partir de ce module, j'aime bien la méthode en ligne adaptée par ce prof",/,ANAD,G,P,J,NE
J'aime bien la présentation de ce cours,/,ANAD,Pr,P,J,NE
Le contenu de ce cours est très important,/,ANAD,C,P,J,NE
j'aime vraiment ce cours il est bien structuré et dans un ordre très logique.,/,ANAD,S,P,J,NE
Le cours contient beaucoup de texte et moins d'exemples,/,ANAD,D,N,M,NE
Très bonne communication entre le prof et les étudiants,/,ANAD,CO,P,J,NE
j'aime ce cours j'assiste toujours,/,ANAD,G,P,J,NE
"J'aime bien la présentation de ce cours, l'enseignant simplifie bien les notions ",/,ARCH3,Pr,P,J,A
Le contenu de ce cours est très important,/,ARCH3,C,P,J,NE
Beaucoup de notions dans la séance qui ne dépasse pas 1H c'est stressant,/,ARCH3,C,N,A,NE
le design n'est pas attirant beaucoup d'écritures dans les slides,/,ARCH3,D,N,M,NE
l'enseignant est toujours interactif avec les étudiants j'aime bien sa méthode,/,ARCH3,CO,P,J,A
j'aime ce cours en tout cas ,/,ARCH3,G,P,J,NE
Le prof explique bien son cours. Il sait comment simplifier les notions complexes j'adore,/,RES1,Pr,P,J,A
Le cours manqué de la pratique. Les Tps ne sont pas bien expliqués. J'arrive pas à bien comprendre le but derrière eux ça me stresse ,/,RES1,C,N,A,NE
Les chapitres et les notions sont bien ordonnés.,/,RES1,S,P,J,NE
Le cours n'est pas du tout attractif. À mon avis les slides manquent d'organisation et de couleurs.,/,RES1,D,N,M,NE
 le prof parle tout seul. Je comprends que c'est pas de sa faute mais ça affecte ma concentration et je m'ennuie rapidement,/,RES1,CO,N,E,NE
"J'ai gagné beaucoup de connaissances à propos des réseaux à travers ce cours, j'ai aimé la méthode du prof ",/,RES1,G,P,J,A
"J'aime beaucoup la méthodologie du professeur. Elle est sympa, pas sévère et ça me donne envie de bien suivre le cours je l'admire",/,THP,Pr,P,J,A
Le cours est balancé entre la théorie et les exemples j'aime bien,/,THP,C,P,J,NE
L'ordre des chapitres me semble naturel et très logique.,/,THP,S,P,J,NE
Les slides du cours manquent de couleurs. Les paragraphes sont parfois très longs.,/,THP,D,N,M,NE
L'enseignante sait comment communiquer avec nous. Elle est attentive et gentille.,/,THP,CO,P,J,A
"Je trouve ce cours en ligne très intéressant, ça m'apporte beaucoup de bonnes connaissances.",/,THP,G,P,J,NE
Perte de temps et efforts de passer 3h30 dans une séance TD surtout que le prof est ennuyant,/,CPRJ,G,N,E,H
Le contenu de ce cours est très important car c'est module mode projet,/,CPRJ,C,P,J,NE
j'aime vraiment ce cours il est bien structuré et dans un ordre très logique,/,CPRJ,S,P,J,NE
Trop de couleurs à mon avis,/,CPRJ,D,N,M,NE
Très bonne communication entre le prof et les étudiants ,/,CPRJ,CO,P,J,A
c'est une bonne expérience et j'aime bien ce cours,/,CPRJ,G,P,J,NE
La présentation est pas mal ,/,ORGA,Pr,P,J,NE
Les informations sont nombreuses et aléatoires,/,ORGA,S,N,M,NE
Les slides sont bien présentés,/,ORGA,D,P,J,NE
"Je n'aime pas la communication de ce cours, je m'ennuie tout le temps ",/,ORGA,CO,N,E,H
le profs est ennuyeux et ce cours est une perte de temps,/,ORGA,G,N,E,H
Le prof menace de rendre l'examen très difficile donc je sens que de stresse pendant ce cours je le déteste,/,ORGA,G,N,A,H
Notions bien présentées,/,TICO,Pr,P,J,NE
Notions  très pertinentes et contenu important,/,TICO,C,P,J,NE
Bien structuré,/,TICO,S,P,J,NE
Design simple et efficace j'adore,/,TICO,D,P,J,NE
"très bonne méthode impliquant les étudiants, j'adore",/,TICO,CO,P,J,A
les séances de ce cours passent très bien je comprends toujours les notions présentées ,/,TICO,G,P,J,NE
Les leçons du module fut très bien présentées et l'interaction avec l'enseignant fut assez facile.,/,ASI,Pr,P,J,A
Le contenu fut assez adéquat avec une variante de sujet et même des interventions de professionnel du métier.,/,ASI,C,P,J,NE
les éléments du cours étaient bien identifiés et le passage d'un point à un autre était transparente,/,ASI,S,P,J,NE
le design était relativement ancien sans trop d'animation,/,ASI,D,N,M,NE
la méthode d'interaction avec les étudiants et la participation rendait le cours plus enrichissant,/,ASI,CO,P,J,A
nous avons acquis a travers ce module des connaissances métiers et professionnelle impossible de trouver ailleurs malgré les conditions le distanciel,/,ASI,G,P,J,A
la présentation est dynamique et fait intervenir les étudiants à maintes reprises j'adore ce prof ,/,IGL,Pr,P,J,A
le contenu est très intéressant et à jours,/,IGL,C,P,J,NE
très structuré on observe le fil conducteur entre les chapitres,/,IGL,S,P,J,NE
des slides bien conçus simples et lisibles,/,IGL,D,P,J,NE
très bonne communication le cours est très interactif j'aime bien,/,IGL,CO,P,J,A
"cours intéressant, j'adore ses séances je me sens tout le temps motivé et à l'aise ",/,IGL,G,P,J,NE
Je n'aime pas la présentation de ce cours car le professeur aborde les notions de manière superficielle et rapide,/,BDA,Pr,N,M,NE
"Le contenu du cours est très intéressant. En effet, le Big Data et ses technologies sont des notions nécessaires pour acquérir des connaissances dans le domaine de l'analyse des données. Le cours est très riches en termes de contenu théorique",/,BDA,C,P,J,NE
Le cours est très bien structuré avec un enchaînement et des notions qui se succèdent.,/,BDA,S,P,J,NE
"Le design du cours n'est pas très attractif. Il y a peu d'image et peu de texte, c'est compliqué de réviser les notions abordées",/,BDA,D,N,M,NE
"Bonne communication entre le prof et les étudiants, car il nous donne la possibilité de poser des questions à tout moment.",/,BDA,CO,P,J,A
"La quantité d'information acquise dans ce module est énorme et très intéressante, les séances passent très bien ",/,BDA,G,P,J,NE
La présentation de ce cours est détaillée et j'aime bien comment le profs l'explique,/,BDA,Pr,P,J,A
Ce cours nous pousse à réfléchir en équipe même si chacun est derrière son écran,/,BDA,G,P,J,A
Le cours est très bien organisé du plus facile au compliqué,/,BDA,S,P,J,NE
Le design est simple j'aime bien,/,BDA,D,P,J,NE
Le prof nous fait participer durant toute la séance j'adore cette méthode,/,BDA,CO,P,J,A
"Je ne peux pas suivre  à cause de la connexion, ça m'angoisse",/,BDA,G,N,A,NE
Le cours est détaillé j'aime bien,/,SIAD,Pr,P,J,NE
Le cours aurait été plus simple avec des exemples concrets d'études de cas,/,SIAD,C,N,M,NE
Cours bien structuré,/,SIAD,S,P,J,NE
Slides trop chargés,/,SIAD,D,N,M,NE
Le prof nous fait participer j'adore cette communication,/,SIAD,CO,P,J,A
On se perd parfois avec les explications et les problèmes de connexion,/,SIAD,G,N,A,NE
il raconte ce qu'il y a dans les slide et il sanctionne les absences des cours dans telles situations !! il est vraiment méchant,/,PGI,Pr,N,C,H
la façon de présenter le cours est ennuyeuse,/,PGI,Pr,N,E,NE
Le contenu du cours est très intéressant,/,PGI,C,P,J,NE
Cours mal organisé,/,PGI,S,N,M,NE
le cours ne contient que de texte ça le rend pas attirant,/,PGI,D,N,M,NE
"il y a ""raconter le cours par l'enseignant"" et ""questions?"" c'est vraiment ennuyant ",/,PGI,CO,N,E,H
La façon d'enseigner ce module en ligne est à revoir ,/,PGI,G,N,M,NE
La présentation est pas mal ,/,BDA,Pr,P,J,NE
Le contenu est important j'aime bien,/,BDA,C,P,J,NE
Cours très intéressant et organisé dès les aspects basic vers les aspects du nouvelle technologie,/,BDA,S,P,J,NE
le design est parfait,/,BDA,D,P,J,NE
Y'a une très bonne communication entre le prof et les étudiants durant le cours elle pose les questions après chaque 15min donc elle évite la cumulé des informations non comprises j'adore vraiment la prof,/,BDA,CO,P,J,A
 je pense que les études en ligne nous n'arrange pas ya pas mieux que la pratique face à face de nos profs au cours et TP surtout,/,BDA,G,N,M,NE
"le  prof est compétent plein d'expérience ,il aime bien de partager ses connaissances et expériences avec nous afin d'atteindre le but du module, j'aime bien sa présentation ",/,SIAD,Pr,P,J,A
je trouve que c'est pas facile à toucher dans son contenu mais par contre il sera mieux de rajouter les notions ou bien de se baser sur qlq notion comme le Bi dans l'aide du décision,/,SIAD,C,N,M,NE
Une très bon structure des chapitres aussi il est en parallèle avec les autres modules,/,SIAD,S,P,J,NE
"Il sera mieux de simplifier un peu les slides, ils sont un peut charger ce qui provoque la mal concentration",/,SIAD,D,N,M,NE
Le prof est très  communicant il s'intéresse à la discussion avec chaque étudiant il partage ses propre expériences il traite trop d'études des cas Réal donc c'est un cour en ligne bien gérer comme si c'est une conférence,/,SIAD,CO,P,J,A
"Un cours limité ,aborde les notions importantes ,le prof gère bien le temps c'est parmi les modules qui sont bien gérer en ligne avec des deadlines des tps bien spécifiés",/,SIAD,G,P,J,NE
J'aime bien la façon utilisée par la prof pour la présentation de son cours,/,ORGA,Pr,P,J,A
"Les informations reçu en début de cours ne me semble pas très important à l'ensemble du module ""organisation des événements etc...""",/,ORGA,C,N,M,NE
"Le cours se présente sous une structure logique, un très bon enchaînement de chapitres",/,ORGA,S,P,J,NE
" Beaucoup de textes, c'est ennuyant",/,ORGA,D,N,E,NE
"La prof nous encourage à participer et communiquer nos difficultés, même si cela ne fonctionne pas la plupart du temps ...",/,ORGA,CO,P,J,A
"C'est très bien, en général",/,ORGA,G,P,J,NE
Je pense que la façon de présenter le cours est bonne,/,RES1,Pr,P,J,NE
Le cours est assez riche en contenu,/,RES1,C,P,J,NE
Le cours suit un ordre logique,/,RES1,S,P,J,NE
"Slides orientés texte, les schémas et les illustrations font rarement présence",/,RES1,D,N,M,NE
"il y a pas vraiment d'interaction enseignant-étudiant, ce genre d'interaction rend le cours plus intéressant et moins ennuyant",/,RES1,CO,N,E,NE
je trouve que le cours en total est bien,/,RES1,G,P,J,NE
j'aime pas trop la présentation et la façon de parler de l'enseignant il est ennuyant,/,RES1,Pr,N,E,H
J'aime bien le contenu du cours important et utile,/,RES1,C,P,J,NE
 pas trop bien structuré le cours.,/,RES1,S,N,M,NE
"Diapos TROP simples, noir sur blanc comme un tableau. En plus des fautes d'orthographes on dirait pas la présentation est faites par un profs d'université ",/,RES1,D,N,M,H
 ça va on communique quand même.,/,RES1,CO,P,J,NE
"Le module est intéressant, mais la façon dont il est enseigné en ligne n'est pas adéquate dommage",/,RES1,G,N,M,NE
J'ai adoré la manière dont ce cours a été présenté.,/,RES2,Pr,P,J,NE
Les notions sont abordables et le contenu très pertinent.,/,RES2,C,P,J,NE
Le cours est très bien organisé.,/,RES2,S,P,J,NE
Le cours contient beaucoup d'illustrations. j'aime bien,/,RES2,D,P,J,NE
L'enseignant communique très bien avec ses étudiants j'aime bien,/,RES2,CO,P,J,A
Je me retrouve des fois stressé car j'ai trop de problèmes de connexion et ça m'empêche de bien suivre le cours ,/,RES2,G,N,A,NE
C'est un style de présentation excellent que j'adore !,/,ANUM,Pr,P,J,A
Contenu RICHE !,/,ANUM,C,P,J,NE
une structure très logique,/,ANUM,S,P,J,NE
Le prof utilise LateX pour le design de ses slides et c'est un effort en plus qui rend son cours un peu plus attirant !,/,ANUM,D,P,J,NE
Excellente communication j'aime bien ce prof,/,ANUM,CO,P,J,A
Très Cool comme Cours surtout en ligne !,/,ANUM,G,P,J,NE
"Très bonne présentation, on voit les efforts fournis par l'enseignant pour remédier aux insuffisances de l'EAD",/,ANUM,Pr,P,J,A
Enfin un cours de maths où on voit les applications des notions en Informatique j'aime trop le contenu,/,ANUM,C,P,J,NE
"Très bien structuré, rien à dire !",/,ANUM,S,P,J,NE
Le seul cours 'de maths' dont les slides sont bien conçues.,/,ANUM,D,P,J,NE
Très bonne communication entre le prof et les étudiants j'ai vraiment apprécié l'effort du prof,/,ANUM,CO,P,J,A
"on adore le cours, j'aime trop le prof et ça méthode",/,ANUM,G,P,J,A
la profs présente son cours d'une façon interactive !,/,SYS,Pr,P,J,A
J'aime bien le contenu,/,SYS,C,P,J,NE
"la structure ne suit pas vraiment un ordre précis, parfois c'est de l'haut niveau, parfois c le bas et on se retrouve pas entre les deux ...",/,SYS,S,N,M,NE
Trop Chargé en texte et j'aime pas les couleurs,/,SYS,D,N,M,NE
Très bonne communication,/,SYS,CO,P,J,NE
"l'enseignante est italienne et j'ai du mal à suivre son cours, car elle a un accent que je ne comprends pas grave",/,INTERO,Pr,N,M,H
les notion sont très importantes,/,INTERO,C,P,J,NE
vraiment mal organisé,/,INTERO,S,N,M,NE
peu de schémas et illustration,/,INTERO,D,N,M,NE
Mauvaise communication ça rend la séance inactive et ennuyante,/,INTERO,CO,N,E,NE
"Dommage, j'arrive pas à bien suivre ça m'angoisse",/,INTERO,G,N,A,NE
la prof est américaine elle a une certaine présence et prestance qui poussent à suivre son cours je l'adore,/,ANG,Pr,P,J,A
très enrichissant car lié au management,/,ANG,C,P,J,NE
bien structuré,/,ANG,S,P,J,NE
par contre tout est en noir et blanc aucune couleurs,/,ANG,D,N,M,NE
le prof nous permet poser les questions à n'importe quelle heure  c'est plutôt cool,/,ANG,CO,P,J,A
on apprend à chaque séance j'adore,/,ANG,G,P,J,NE
Le prof perd toujours sa vidéo,/,BDA,Pr,N,M,NE
Contenu très important pendant tout le semestre,/,BDA,C,P,J,NE
 cours  trés mal organisé,/,BDA,S,N,M,NE
 aucune animation c'est a nous de prendre notes,/,BDA,D,N,M,NE
"on pose les questions à la fin on peut se perdre facilement, je n'aime pas du tout cette méthode ",/,BDA,CO,N,M,NE
 ce cours me rend angoissée et fragile,/,BDA,G,N,A,NE
le prof explique très rapidement le cours et à chaque fois nous donne un flux énorme d'informations dans une séance de même pas une HEURE c'est énervant quand même ,/,RO,Pr,N,C,NE
le contenu de ce cours est très important est intéressant et je trouve que les notions abordées sont bien détaillées,/,RO,C,P,J,NE
ce cours est dans un ordre logique et bien organisé,/,RO,S,P,J,NE
La présentation ne contient pas toutes les informations c'est obligé de revoir la version pdf et ça est une perte temps à mon avis,/,RO,Pr,N,M,NE
la communication n'est pas mauvaise vu que le prof nous permet de poser des questions et d'intervenir tout le temps je l'aime bien,/,RO,CO,P,J,A
le taux d'informations qu'on nous enseigne lors d'une séance d'une heure est incroyable c'est trop pour moi je finis toujours les séances stressée.,/,RO,G,N,A,NE
présentation et la méthode du profs pas mauvaise ,/,ORGA,Pr,P,J,NE
cours très théorique très long on arrive pas à suivre/être concentré les notions ne sont vraiment pas très intéressantes.,/,ORGA,C,N,M,NE
mal organisé plusieurs idées mélangées,/,ORGA,S,N,M,NE
un chapitre de ce cours contient au moyenne 90 SLIDES! j'arrive pas à comprendre comment ils nous attendent de tout saisir,/,ORGA,D,N,M,NE
"communication mauvaise j'aime pas le déroulement des séances, le prof ennuyant et nul",/,ORGA,CO,N,E,H
la manière avec laquelle ce cours est enseigné en ligne m'étonne et il n'attire jamais les étudiants si ça reste comme ça.,/,ORGA,G,N,M,H
C'est très clair et bien expliqué et présenté,/,ORGA,Pr,P,J,NE
Le contenu de cours est très important ,/,ORGA,C,P,J,NE
C'est bien structuré et logique,/,ORGA,S,P,J,NE
Le cours contient tout ce qu'il faut ni plus ni moins ,/,ORGA,D,P,J,NE
J'aime la méthode de dialogue entre enseignants et élèves pendant le cours ça rend la séance active,/,ORGA,CO,P,J,A
C'est incroyable la quantité des connaissances que j'ai acquises à partir de ce cours,/,ORGA,G,P,J,NE
j'aime bien la manière dont le profs explique et présente son cours ,/,BDD,Pr,P,J,A
le contenu de ce cours est très important,/,BDD,C,P,J,NE
Le cours est bien structuré avec un ordre chronologique très logique,/,BDD,S,P,J,NE
la présentation de cours ne possède que les idées essentiels j'aime ça,/,BDD,D,P,J,NE
Très bonne communication entre le prof et les étudiants durant la présentation de cours et aussi vers la fin,/,BDD,CO,P,J,NE
"on se trouve perturbés et stressés même si on acquis des informations ,elle ne peut pas être sauvegardé pour une longue période.",/,BDD,G,N,A,NE
Bien présenté j'aime cette méthode,/,TICO,Pr,P,J,NE
Bon contenu rien à dire,/,TICO,C,P,J,NE
Très bien structuré,/,TICO,S,P,J,NE
Beaucoup de texte à mon avis,/,TICO,D,N,M,NE
Bonne communication entre le prof et les étudiants j'aime trop les séances de ce cours,/,TICO,CO,P,J,NE
Je trouve qu'on s'attarde la ou il faut et on avance quand il faut j'aime la méthode de la profs,/,TICO,Pr,P,J,NE
J'aimerai qu'on fasse plus d'exemples pratiques ,/,TICO,G,N,M,NE
Assez bien organisé,/,TICO,S,P,J,NE
Manque d'animation il faut l'améliorer à mon avis,/,TICO,D,N,M,NE
" J'adore le prof, Il enseigne avec des exemples réels",/,TICO,CO,P,J,A
"Ca va généralement comme module, j'aime bien la méthode en ligne on passe un agréable temps quand même",/,TICO,G,P,J,NE
"J'aime bien la présentation du cours , c'est des points bien précis et organisés",/,TICO,Pr,P,J,NE
le contenu du cours est très important et on traite plein d'exemples sur les notions abordées,/,TICO,C,P,J,NE
Le cours du TICO est très bien structuré ,/,TICO,S,P,J,NE
"Le contenu contient autant du texte que d'images nécessaires , selon chaque notion , si le point nécessite des schémas et des images pour permettre une meilleure compréhension donc les schémas sont la , et si ça nécessite du texte on trouve des paragraphes",/,TICO,D,P,J,NE
le cours du TICO assure une très bonne communication entre nous pendant toute la séance j'apprécie ce prof,/,TICO,CO,P,J,A
C'est vrai qu'on reçoit trop de notions pendant le cours mais on essaye toujours de comprendre bien ces notions et les rendre plus facile à mémoriser ,/,TICO,G,P,J,NE
La prof EST MAGNIFIQUE,/,SYC1,Pr,P,J,A
Je trouve le contenu bien. ,/,SYC1,C,P,J,NE
"Cours bien structuré, ce qui nous permet de bien suivre. ",/,SYC1,S,P,J,NE
"Slides trop simples, pas très agréables à voir. ",/,SYC1,D,N,M,NE
Prof très attentionnée <3 !!! j'aime bien la façon dont elle communique avec nous,/,SYC1,CO,P,J,A
parmi les  cours en ligne que j'aime bien assister   ,/,SYC1,G,P,J,NE
j'aime bien la présentation du profs   ,/,IPLS,Pr,P,J,NE
contenu minimisé par rapport à ce qu'on fait en présentiel à cause de réduction la duré de la séance,/,IPLS,C,N,M,NE
"Oui bien organisé, y a le cours détaillé, des fois les slides et enfin des qcm de compréhension et des exercice ",/,IPLS,S,P,J,NE
Design simple j'aime pas vraiment  ,/,IPLS,D,N,M,NE
Avec les problèmes de micro et de connexion on arrive pas à bien communiquer entre nous et c'est stressant  ,/,IPLS,CO,N,A,NE
J'arrive à comprendre et apprécier ce qui est appris à nous mais si on avait plus de temps pour évoquer plus de notions et travailler ensemble et réfléchir ensemble ,/,IPLS,G,N,M,NE
L'enseignant maîtrise le sujet et présente son cours d'une manière adéquate.,/,IPLS,Pr,P,J,A
contenu important et utile,/,IPLS,C,P,J,NE
L'enchaînement des notions est dans un ordre cohérent.,/,IPLS,S,P,J,NE
La présentation est visuellement légère et permettant d'assimiler les notions rapidement.,/,IPLS,D,P,J,NE
"L'enseignant répond aux questions à tout moment, qu'elles soient posées par oral ou par écrit j'aime bien",/,IPLS,CO,P,J,A
Les cours de ce module sont très faciles à assimiler en ligne pour ma part surtout avec la méthode du profs j'aime bien,/,IPLS,G,P,J,A
"Je ressens que l'enseignante est motivée lorsqu'elle présente son cours, ce qui lui accorde un intérêt supplémentaire.",/,IHM,Pr,P,J,A
"Le contenu du cours est très intéressant, surtout les notions mêlant les neurosciences.",/,IHM,C,P,J,NE
Le cours est plutôt bien structuré.,/,IHM,S,P,J,NE
"Le cours est assez simple à retenir lorsqu'on le lit. Pour un module qui nous enseigne les bonnes pratiques d'exposition visuelle, il serait difficile que la présentation du cours soit mauvaise en elle-même donc je trouve le design simple et beau",/,IHM,D,P,J,NE
L'enseignante est toujours à l'écoute des étudiants lors des séances de cours en ligne je l'adore,/,IHM,CO,P,J,A
Je pense que ce cours en ligne est largement bien fait.,/,IHM,G,P,J,NE
J'aime bien la présentation de ce cours,/,IHM,Pr,P,J,NE
Le contenu de ce cours est très important,/,IHM,C,P,J,NE
Cours mal organisé j'aime pas vraiment,/,IHM,S,N,M,NE
Le cours contient beaucoup de texte,/,IHM,D,N,M,NE
Je n'aime pas la méthode de laisser les questions à la fin de la séance je me perds ,/,IHM,CO,N,A,NE
Je n'arrive pas à comprendre je sais pas si le module qui est difficile ou la méthode du profs qui n'est pas efficace,/,IHM,G,N,M,NE
La présentation du cours me donne l'envie de dormir surtout que le profs parle trop et d'une façon lente  ,/,SIC,Pr,N,M,H
Le contenu n'est pas pertinent il contient seulement des définitions vagues.,/,SIC,C,N,M,NE
La structure du cours est évidente et prévisible.,/,SIC,S,P,J,NE
Le cours n'est pas attirant sans aucune illustration et avec uniquement du texte brut.,/,SIC,D,N,M,NE
"Aucune communication avec l'enseignant, il parle seul et il cherche même pas à comprendre si on a bien compris , si on est à l'aise mais vraiment grave il s'en fout de nous et je l'aime pas ",/,SIC,CO,N,M,H
Cours médiocre et un prof qui s'en fout de tout c'est énervant,/,SIC,G,N,C,H
on a presque pas eu de cours,/,SIC,G,N,M,NE
Des notions intéressantes ,/,SIC,C,P,J,NE
très mal structuré j'aime pas trop,/,SIC,S,N,M,NE
trop de texte ça rend la présentation ennuyante ,/,SIC,D,N,E,NE
"Presque pas de communication chacun à sa place ennuyé , il y a que le prof qui dit n'importe quoi j'aime pas du tout sa méthode",/,SIC,CO,N,E,H
"je ne saurai d'où commencer pour comprendre, durant la séance je me perds trop à cause de prof qui mélange tout et ça me stresse vraiment ",/,SIC,G,N,A,H
"Ce cours est merveilleusement présenté, j'aime bien la façon de parler du prof",/,AQUA,Pr,P,J,A
"Ce cours aborde énormément de notions qui nous seront très utiles par la suite, sans trop rentrer dans les détails. Il nous donne une vue élargie dans tout le domaine.",/,AQUA,C,P,J,NE
"Le cours est très bien structuré, je ne me prends pas trop la tête pour lier les notions entre elles.",/,AQUA,S,P,J,NE
"Les slides de la présentation sont modestes et simplistes, me permettant d'assimiler rapidement les notions.",/,AQUA,D,P,J,NE
L'enseignant fait tous les efforts pour communiquer avec ses étudiants lors de ses séances je l'adore,/,AQUA,CO,P,J,A
ce cours en ligne est très bien fait j'apprécie bien la méthode de l'enseignant,/,AQUA,G,P,J,A
Les présentations sont assez soignées.,/,PGI,Pr,P,J,NE
Le contenu du cours est assez pertinent bien qu'on pourrait se contenter que du nécessaire sans trop nous étaler dessus.,/,PGI,C,P,J,NE
Le cours est plutôt bien structuré.,/,PGI,S,P,J,NE
"Les présentations sont bourrées de texte du début à la fin, sans aucune illustration j'aime pas vraiment",/,PGI,D,N,M,NE
"Le dialogue entre l'enseignante et ses étudiants se fait uniquement en activant le microphone, beaucoup de questions dans le tchat restent sans réponse et ça m'énervent.",/,PGI,CO,N,C,NE
J'estime que le méthode en ligne de ce cours est acceptable.,/,PGI,G,P,J,NE
"Ce cours est très bien exposé, l'enseignant maîtrise d'ailleurs sa présentation j'aime bien",/,BDA,Pr,P,J,A
"Le contenu est très intéressant, il est la base de plusieurs autres modules et domaines d'intérêt.",/,BDA,C,P,J,NE
La structure du cours est cohérente et logique.,/,BDA,S,P,J,NE
La présentation est attractive et animée par l'enseignant.,/,BDA,D,P,J,A
L'enseignant communique en temps réel avec ses étudiants j'adore.,/,BDA,CO,P,J,A
le cours est très intéressant,/,BDA,G,P,J,NE
Le cours est bien présenté ,/,OPT,Pr,P,J,NE
Le contenu du cours est très important,/,OPT,C,P,J,NE
Le cours est bien structuré dans un ordre logique,/,OPT,S,P,J,NE
Les slides du cours sont Bien faits ,/,OPT,D,P,J,NE
Très bonne communication entre nous tous j'aime bien ça rend le cours dynamique ,/,OPT,CO,P,J,A
Le cours est très bien présenté et expliqué,/,TDM2,Pr,P,J,NE
Les notions présentées dans le cours sont très intéressantes,/,TDM2,C,P,J,NE
Le façon dont le cours a été structuré ne m'a pas beaucoup plu,/,TDM2,S,N,M,NE
Chaque partie est accompagnée de figures et d'exemples permettant de mieux comprendre,/,TDM2,D,P,J,NE
